time_s,pos_x_m,pos_y_m,alt_z_m,vel_x_mps,vel_y_mps,vel_z_mps
1.4600,14.6662,0.0000,53.8670,21.6010,0.0000,0.0000
1.4700,14.8830,0.0000,54.5916,21.7649,0.0000,0.0000
1.4800,15.1015,0.0000,55.3208,21.9287,0.0000,0.0000
1.4900,15.3216,0.0000,56.0544,22.0925,0.0000,0.0000
1.5000,15.5433,0.0000,56.7925,22.2562,0.0000,0.0000
1.5100,15.7667,0.0000,57.5351,22.4198,0.0000,0.0000
1.5200,15.9917,0.0000,58.2821,22.5833,0.0000,0.0000
1.5300,16.2184,0.0000,59.0335,22.7468,0.0000,0.0000
1.5400,16.4467,0.0000,59.7894,22.9101,0.0000,0.0000
1.5500,16.6766,0.0000,60.5497,23.0734,0.0000,0.0000
1.5600,16.9081,0.0000,61.3145,23.2365,0.0000,0.0000
1.5700,17.1413,0.0000,62.0836,23.3995,0.0000,0.0000
1.5800,17.3761,0.0000,62.8571,23.5625,0.0000,0.0000
1.5900,17.6126,0.0000,63.6350,23.7253,0.0000,0.0000
1.6000,17.8506,0.0000,64.4173,23.8880,0.0000,0.0000
1.6100,18.0903,0.0000,65.2039,24.0506,0.0000,0.0000
1.6200,18.3316,0.0000,65.9949,24.2130,0.0000,0.0000
1.6300,18.5746,0.0000,66.7902,24.3754,0.0000,0.0000
1.6400,18.8192,0.0000,67.5899,24.5376,0.0000,0.0000
1.6500,19.0653,0.0000,68.3938,24.6997,0.0000,0.0000
1.6600,19.3131,0.0000,69.2021,24.8616,0.0000,0.0000
1.6700,19.5626,0.0000,70.0147,25.0234,0.0000,0.0000
1.6800,19.8136,0.0000,70.8315,25.1851,0.0000,0.0000
1.6900,20.0663,0.0000,71.6527,25.3466,0.0000,0.0000
1.7000,20.3205,0.0000,72.4781,25.5080,0.0000,0.0000
1.7100,20.5764,0.0000,73.3077,25.6692,0.0000,0.0000
1.7200,20.8339,0.0000,74.1416,25.8302,0.0000,0.0000
1.7300,21.0930,0.0000,74.9797,25.9911,0.0000,0.0000
1.7400,21.3538,0.0000,75.8221,26.1519,0.0000,0.0000
1.7500,21.6161,0.0000,76.6686,26.3125,0.0000,0.0000
1.7600,21.8800,0.0000,77.5193,26.4729,0.0000,0.0000
1.7700,22.1455,0.0000,78.3743,26.6332,0.0000,0.0000
1.7800,22.4127,0.0000,79.2334,26.7932,0.0000,0.0000
1.7900,22.6814,0.0000,80.0966,26.9531,0.0000,0.0000
1.8000,22.9517,0.0000,80.9640,27.1129,0.0000,0.0000
1.8100,23.2237,0.0000,81.8356,27.2724,0.0000,0.0000
1.8200,23.4972,0.0000,82.7112,27.4318,0.0000,0.0000
1.8300,23.7723,0.0000,83.5910,27.5910,0.0000,0.0000
1.8400,24.0490,0.0000,84.4749,27.7499,0.0000,0.0000
1.8500,24.3273,0.0000,85.3629,27.9087,0.0000,0.0000
1.8600,24.6072,0.0000,86.2550,28.0673,0.0000,0.0000
1.8700,24.8886,0.0000,87.1511,28.2258,0.0000,0.0000
1.8800,25.1717,0.0000,88.0513,28.3840,0.0000,0.0000
1.8900,25.4563,0.0000,88.9555,28.5420,0.0000,0.0000
1.9000,25.7425,0.0000,89.8638,28.6998,0.0000,0.0000
1.9100,26.0303,0.0000,90.7761,28.8574,0.0000,0.0000
1.9200,26.3197,0.0000,91.6924,29.0147,0.0000,0.0000
1.9300,26.6106,0.0000,92.6127,29.1719,0.0000,0.0000
1.9400,26.9031,0.0000,93.5370,29.3289,0.0000,0.0000
1.9500,27.1972,0.0000,94.4652,29.4856,0.0000,0.0000
1.9600,27.4928,0.0000,95.3974,29.6421,0.0000,0.0000
1.9700,27.7900,0.0000,96.3336,29.7984,0.0000,0.0000
1.9800,28.0888,0.0000,97.2737,29.9545,0.0000,0.0000
1.9900,28.3891,0.0000,98.2177,30.1104,0.0000,0.0000
2.0000,28.6910,0.0000,99.1657,30.2660,0.0000,0.0000
2.0100,28.9944,0.0000,100.1175,30.4214,0.0000,0.0000
2.0200,29.2994,0.0000,101.0732,30.5765,0.0000,0.0000
2.0300,29.6060,0.0000,102.0328,30.7315,0.0000,0.0000
2.0400,29.9140,0.0000,102.9963,30.8861,0.0000,0.0000
2.0500,30.2237,0.0000,103.9636,31.0406,0.0000,0.0000
2.0600,30.5349,0.0000,104.9347,31.1948,0.0000,0.0000
2.0700,30.8476,0.0000,105.9097,31.3487,0.0000,0.0000
2.0800,31.1618,0.0000,106.8885,31.5025,0.0000,0.0000
2.0900,31.4776,0.0000,107.8711,31.6559,0.0000,0.0000
2.1000,31.7949,0.0000,108.8575,31.8091,0.0000,0.0000
2.1100,32.1138,0.0000,109.8476,31.9621,0.0000,0.0000
2.1200,32.4342,0.0000,110.8415,32.1148,0.0000,0.0000
2.1300,32.7561,0.0000,111.8392,32.2673,0.0000,0.0000
2.1400,33.0795,0.0000,112.8406,32.4194,0.0000,0.0000
2.1500,33.4045,0.0000,113.8457,32.5714,0.0000,0.0000
2.1600,33.7310,0.0000,114.8546,32.7231,0.0000,0.0000
2.1700,34.0589,0.0000,115.8671,32.8745,0.0000,0.0000
2.1800,34.3884,0.0000,116.8834,33.0256,0.0000,0.0000
2.1900,34.7195,0.0000,117.9033,33.1765,0.0000,0.0000
2.2000,35.0520,0.0000,118.9268,33.3271,0.0000,0.0000
2.2100,35.3860,0.0000,119.9540,33.4774,0.0000,0.0000
2.2200,35.7215,0.0000,120.9849,33.6275,0.0000,0.0000
2.2300,36.0585,0.0000,122.0194,33.7773,0.0000,0.0000
2.2400,36.3971,0.0000,123.0575,33.9268,0.0000,0.0000
2.2500,36.7371,0.0000,124.0991,34.0760,0.0000,0.0000
2.2600,37.0786,0.0000,125.1444,34.2250,0.0000,0.0000
2.2700,37.4216,0.0000,126.1932,34.3736,0.0000,0.0000
2.2800,37.7661,0.0000,127.2456,34.5220,0.0000,0.0000
2.2900,38.1120,0.0000,128.3016,34.6701,0.0000,0.0000
2.3000,38.4595,0.0000,129.3611,34.8180,0.0000,0.0000
2.3100,38.8084,0.0000,130.4241,34.9655,0.0000,0.0000
2.3200,39.1588,0.0000,131.4906,35.1127,0.0000,0.0000
2.3300,39.5106,0.0000,132.5606,35.2597,0.0000,0.0000
2.3400,39.8640,0.0000,133.6341,35.4064,0.0000,0.0000
2.3500,40.2188,0.0000,134.7110,35.5527,0.0000,0.0000
2.3600,40.5750,0.0000,135.7914,35.6988,0.0000,0.0000
2.3700,40.9327,0.0000,136.8753,35.8446,0.0000,0.0000
2.3800,41.2919,0.0000,137.9625,35.9901,0.0000,0.0000
2.3900,41.6525,0.0000,139.0532,36.1353,0.0000,0.0000
